Store Name,Product Name,Product Price,Gender,Landing Page Link,Ad Link,Date Published
Pafen Dz,Boucheron Singulier Eau De Parfum 100ml,"18,500 DZD",Homme,https://pafen-dz.com/order/3236-boucheron-singulier-edp-100-ml,https://www.facebook.com/ads/library/?id=1266422528876738,"Jan 3, 2026"
Smell Good Dz,Cartier Déclaration Eau De Toilette 100ml,"18,000 DZD",Homme,https://smellgood-dz.com/products/cartier-declaration-edt-50ml-100ml?variant=51299045310766,https://www.facebook.com/ads/library/?id=1266422528876738,"Jan 3, 2026"
Fragrance Dz,Hermès Eau d'Orange Verte Eau de Cologne 100ml,"16,500 DZD",Unisex,https://fragrance-dz.com/product/hermes-eau-dorange-verte-eau-de-cologne-100ml/,https://www.facebook.com/ads/library/?id=1655918001776983,"Jun 3, 2025"
Fragrance Dz,Kenzo L'Eau Kenzo Boisée Eau de Toilette 50ml,"12,500 DZD",Homme,https://fragrance-dz.com/product/kenzo-leau-kenzo-boisee-eau-de-toilette-50ml-2/,https://www.facebook.com/ads/library/?id=1655918001776983,"Jun 3, 2025"
Smell Good Dz,Burberry Mr Burberry Coffret (Edt 100ml + Shower Gel),"11,000 DZD",Homme,https://smellgood-dz.com/products/burberry-mr-burberry-coffret?variant=51298841133358,https://www.facebook.com/ads/library/?id=1266422528876738,"Jan 3, 2026"
Pafen Dz,Armaf Club De Nuit Intense Man 105ml EDP,"8,900 DZD",Homme,https://pafen-dz.com/order/4223-pack-promo-club-de-nuit,https://www.facebook.com/ads/library/?id=1486022993064986,"Apr 27, 2026"
Smell Good Dz,Calvin Klein CK One Eau de Toilette 200ml,"8,500 DZD",Unisex,https://smellgood-dz.com/products/calvin-klein-ck-one-edt-100ml-200ml?variant=51298881569070,https://www.facebook.com/ads/library/?id=1266422528876738,"Jan 3, 2026"
Pafen Dz,Armaf Club De Nuit Femme 105ml EDP,"8,200 DZD",Femme,https://pafen-dz.com/order/4224-pack-promo-club-de-nuit-femme,https://www.facebook.com/ads/library/?id=1486022993064986,"Apr 27, 2026"
FragranceX Official,Givenchy Pi Cologne / Perfume Tester,"7,100 DZD",Homme,https://www.fragrancex.com/products/givenchy/pi-cologne?sid=pimts33,https://www.facebook.com/ads/library/?id=2397692100685575,"Nov 5, 2025"
Maria Parfum Dz,Pack Prestige 3 Parfums Homme (Givenchy + YSL Y + Sauvage),"3,900 DZD",Homme,https://maria-parefum.foorweb.store/MB,https://www.facebook.com/ads/library/?id=1486022993064986,"Apr 27, 2026"
Auraluxe Dz,Hugo Boss Bottled Intense 100ml Eau De Parfum,"3,500 DZD",Homme,https://auraluxe.youcan.store/products/555,https://www.facebook.com/ads/library/?id=1655918001776983,"Jun 3, 2025"
Auraluxe Dz,"Pack 5 Parfums Homme Top Ventes (YSL, BOSS, Sauvage, Hermès)","2,900 DZD",Homme,https://auraluxe.youcan.store/products/5parfum2900,https://www.facebook.com/ads/library/?id=1655918001776983,"Jun 3, 2025"
Beauty Life Dz,Pack 3 Parfums Tester Luxe au Choix (58 Wilaya COD),"2,000 DZD",Unisex,https://www.instagram.com/beautylife_dz,https://www.facebook.com/ads/library/?id=1338929460751660,"Feb 8, 2025"
