Brand,Perfume Title,Volume (ML),Concentration,Prix Gros (DZD),Min Retail Price (DZD),Min Price Store,Max Retail Price (DZD),Max Price Store,Average Retail Price (DZD),Stores Found Count,Briki Parfums Price,Smell Good DZ Price,Odorem DZ Price,Gallery Parfums Price,Shoppili DZ Price,Matched URLs
ABSOLUS ALLEGORIA,ABSOLUS ALLEGORIA EPICES EXQUISES EDP 125ML,125ML,EDP,"21,800 DZD","28,000 DZD",Smell Good DZ,"28,000 DZD",Smell Good DZ,"28,000 DZD",1,,"28,000 DZD",,,,Smell Good DZ: https://smellgood-dz.com/products/guerlain-epices-exquises-edp-125ml
ABSOLUS ALLEGORIA,ABSOLUS ALLEGORIA OUD ESSENTIEL EDP 125ML,125ML,EDP,"21,800 DZD","28,000 DZD",Smell Good DZ,"28,000 DZD",Smell Good DZ,"28,000 DZD",1,,"28,000 DZD",,,,Smell Good DZ: https://smellgood-dz.com/products/guerlain-oud-essentiel-edp-125ml
ABSOLUS ALLEGORIA,ABSOLUS ALLEGORIA SANTAL ROYAL 125ML,125ML,,"21,000 DZD","28,000 DZD",Smell Good DZ,"28,000 DZD",Smell Good DZ,"28,000 DZD",1,,"28,000 DZD",,,,Smell Good DZ: https://smellgood-dz.com/products/guerlain-santal-royal-edp-125ml
ANTONIO BANDERAS,ANTONIO BANDERAS BLUE SEDUCTION EDT 200ML,200ML,EDT,"5,400 DZD",N/A,N/A,N/A,N/A,N/A,0,,,,,,
AZZARO,AZZARO THE MOST WANTED EDP 100ML,100ML,EDP,"13,200 DZD","6,000 DZD",Smell Good DZ,"6,262 DZD",Briki Parfums,"6,131 DZD",2,"6,262 DZD","6,000 DZD",,,,Smell Good DZ: https://smellgood-dz.com/products/azzaro-the-most-wanted | Briki Parfums: https://briki-parfums.com/parfums-homme/coffret-azzaro-wanted-the-most/
AZZARO,AZZARO THE MOST WANTED EDT 100ML,100ML,EDT,"11,600 DZD","6,000 DZD",Smell Good DZ,"6,262 DZD",Briki Parfums,"6,131 DZD",2,"6,262 DZD","6,000 DZD",,,,Smell Good DZ: https://smellgood-dz.com/products/azzaro-the-most-wanted | Briki Parfums: https://briki-parfums.com/parfums-homme/coffret-azzaro-wanted-the-most/
AZZARO,AZZARO THE MOST WANTED PARFUM 100ML,100ML,PARFUM,"14,500 DZD","6,000 DZD",Smell Good DZ,"6,262 DZD",Briki Parfums,"6,131 DZD",2,"6,262 DZD","6,000 DZD",,,,Smell Good DZ: https://smellgood-dz.com/products/azzaro-the-most-wanted | Briki Parfums: https://briki-parfums.com/parfums-homme/coffret-azzaro-wanted-the-most/
AZZARO,AZZARO WANTED BY NIGHT EDP 100ML,100ML,EDP,"13,800 DZD","22,000 DZD",Smell Good DZ,"22,000 DZD",Smell Good DZ,"22,000 DZD",1,,"22,000 DZD",,,,Smell Good DZ: https://smellgood-dz.com/products/azzaro-wanted-by-night-edp-100ml
BOUCHERON,BOUCHERON SINGULIER EDP 100 ML,100ML,EDP,"8,600 DZD","6,262 DZD",Briki Parfums,"6,262 DZD",Briki Parfums,"6,262 DZD",1,"6,262 DZD",,,,,Briki Parfums: https://briki-parfums.com/parfums-homme/boucheron-singulier-coffret/
CAROLINA HERRERA,CAROLINA HERRERA CHIC HOMME EDT 100ML,100ML,EDT,"10,800 DZD","6,262 DZD",Briki Parfums,"16,000 DZD",Smell Good DZ,"11,131 DZD",2,"6,262 DZD","16,000 DZD",,,,Smell Good DZ: https://smellgood-dz.com/products/carolina-herrera-chic-for-men-edt-100ml | Briki Parfums: https://briki-parfums.com/parfums-femme/carolina-herrera-chic/
