Brand,Perfume Title,Volume (ML),Concentration,Prix Gros (DZD),Min Retail Price (DZD),Max Retail Price (DZD),Max Margin
ENCENS,ENCENS MYTHIQUE EDP 125ML,125ML,EDP,"19,200 DZD",25000 DZD,28000 DZD,8800
GUERLAIN,GUERLAIN EPICES EXQUISES EDP 125ML,125ML,EDP,"19,200 DZD",26500 DZD,"28,000 DZD",8800
EMPORIO ARMANI,EMPORIO ARMANI STRONGER WITH YOU POWERFULLY EDP 100ML,100ML,EDP,"20,200 DZD",22900 DZD,"28,500 DZD",8300
DIOR,DIOR HOMME PARFUM 125ML,125ML,PARFUM,"35,000 DZD","6,262 DZD","42,500 DZD",7500
GUERLAIN,GUERLAIN PATCHOULI ARDEN EDP 125ML,125ML,EDP,"20,500 DZD",26500 DZD,27500 DZD,7000
DIOR,DIOR SAUVAGE ELEXIR EDP 100ML,100ML,ELIXIR,"39,500 DZD","6,262 DZD","46,500 DZD",7000
HUGO BOSS,HUGO BOSS SUPERMAN EDP 125ML,125ML,EDP,"9,500 DZD",N/A,"16,500 DZD",7000
CLINIQUE HAPPY,CLINIQUE HAPPY COLOGNE FOR MEN EDT 100ML,100ML,EDT,"5,800 DZD",9000 DZD,"12,800 DZD",7000
AZZARO,AZZARO WANTED BY NIGHT EDP 100ML,100ML,EDP,"13,800 DZD",18500 DZD,20500 DZD,6700
ABSOLUS ALLEGORIA,ABSOLUS ALLEGORIA SANTAL ROYAL 125ML,125ML,,"21,000 DZD",26500 DZD,27500 DZD,6500
DIOR,DIOR COLOGNE HOMME EDC 200ML,200ML,EDC,"33,000 DZD",N/A,"39,500 DZD",6500
DIOR,DIOR HOMME INTENSE EDP 150ML,150ML,EDP,"31,000 DZD","6,262 DZD","37,500 DZD",6500
DIOR,DIOR HOMME SPORT EDT 200ML,200ML,EDT,"33,000 DZD","39,000 DZD","39,500 DZD",6500
ANTONIO BANDERAS,ANTONIO BANDERAS BLUE SEDUCTION EDT 200ML,200ML,EDT,"5,400 DZD",N/A,"11,800 DZD",6400
PRADA,PRADA PARADIGME EDP 100ML,100ML,EDP,"22,200 DZD","28,000 DZD",28500 DZD,6300
YVES SAINT LAURENT,YVES SAINT LAURENT LA NUIT DE L'HOMME EDT 100ML,100ML,EDT,"15,800 DZD",19800 DZD,"22,000 DZD",6200
HUGO BOSS,HUGO BOSS XY EDT 100ML,100ML,EDT,"7,200 DZD",12500 DZD,13200 DZD,6000
