Perfume Name,Shoppili Dz,Smell Good Dz,Briki Parfums,Pafen Dz,Gallery Parfums Dz,Odorem Dz,Min Price (DZD),Max Price (DZD),Stores Count
30ML Kenzo Homme EDT Intense,N/A,"6,300 DZD",N/A,N/A,N/A,N/A,"6,300 DZD","6,300 DZD",1
9PM Elixir بديل Le Mal Elixir,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
ABSOLUS ALLEGORIA EPICES EXQUISES EDP 125ML,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
ABSOLUS ALLEGORIA OUD ESSENTIEL EDP 125ML,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
ABSOLUS ALLEGORIA SANTAL ROYAL 125ML,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
ANTONIO BANDERAS BLUE SEDUCTION EDT 200ML,N/A,"1,200 DZD | 2,400 DZD | 3,600 DZD | 4,800 DZD | 6,000 DZD | 9,000 DZD | 9,500 DZD | 13,000 DZD | 13,500 DZD","7,500 DZD",N/A,N/A,"10,800 DZD | 11,800 DZD","1,200 DZD","13,500 DZD",3
AZZARO THE MOST WANTED EDP 100ML,N/A,"2,500 DZD | 5,000 DZD | 6,000 DZD | 7,500 DZD | 10,000 DZD | 12,500 DZD | 21,500 DZD | 22,000 DZD | 26,000 DZD | 26,500 DZD","16,500 DZD | 19,500 DZD | 20,500 DZD | 22,500 DZD",N/A,N/A,"6,000 DZD | 18,800 DZD | 20,500 DZD","2,500 DZD","26,500 DZD",3
AZZARO THE MOST WANTED EDT 100ML,N/A,"2,500 DZD | 5,000 DZD | 6,000 DZD | 7,500 DZD | 10,000 DZD | 12,500 DZD | 21,500 DZD | 22,000 DZD | 26,000 DZD | 26,500 DZD","16,500 DZD | 19,500 DZD | 20,500 DZD | 22,500 DZD",N/A,N/A,"6,000 DZD | 18,800 DZD | 20,500 DZD","2,500 DZD","26,500 DZD",3
AZZARO THE MOST WANTED PARFUM 100ML,N/A,"2,500 DZD | 5,000 DZD | 6,000 DZD | 7,500 DZD | 10,000 DZD | 12,500 DZD | 21,500 DZD | 22,000 DZD | 26,000 DZD | 26,500 DZD","16,500 DZD | 19,500 DZD | 20,500 DZD | 22,500 DZD",N/A,N/A,"6,000 DZD | 18,800 DZD | 20,500 DZD","2,500 DZD","26,500 DZD",3
AZZARO WANTED BY NIGHT EDP 100ML,N/A,"22,000 DZD","19,500 DZD",N/A,N/A,N/A,"19,500 DZD","22,000 DZD",2
Addict Blue Assaf 125ML,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Akdeniz Unique'e Luxury,N/A,N/A,"42,500 DZD",N/A,N/A,N/A,"42,500 DZD","42,500 DZD",1
Antonio Banderas Blue Seduction 200ml,N/A,"1,200 DZD | 2,400 DZD | 3,600 DZD | 4,800 DZD | 6,000 DZD | 9,000 DZD | 9,500 DZD | 13,000 DZD | 13,500 DZD","7,500 DZD",N/A,N/A,"10,800 DZD | 11,800 DZD","1,200 DZD","13,500 DZD",3
Aquatica Rayhaan بديل Virgin Island Water Creed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Armaf infinity black بديل L'Homme Ultime Yves Saint Laurent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Arrogate Pink by Assaf 200ML,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Atlantis Extrait - French Avenue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Aura by Assaf 150ML بديل Hacivat Nishane,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Azzaro Sport EDT 100ML,N/A,"11,500 DZD","7,500 DZD | 11,500 DZD",N/A,N/A,"9,900 DZD | 10,500 DZD","7,500 DZD","11,500 DZD",3
Azzaro The most wanted 100ml edp intense,N/A,N/A,"16,500 DZD | 19,500 DZD | 20,500 DZD | 22,500 DZD",N/A,N/A,"6,000 DZD | 18,800 DZD | 20,500 DZD","6,000 DZD","22,500 DZD",2
Azzaro Wanted by Night,N/A,"22,000 DZD","16,500 DZD | 19,500 DZD",N/A,N/A,N/A,"16,500 DZD","22,000 DZD",2
BDK Gris Charnel Extrait de Parfum 100ML,N/A,"60,000 DZD","45,000 DZD | 62,000 DZD",N/A,N/A,"49,000 DZD | 53,000 DZD","45,000 DZD","62,000 DZD",3
BOUCHERON SINGULIER EDP 100 ML,N/A,N/A,"12,800 DZD | 15,500 DZD",N/A,N/A,N/A,"12,800 DZD","15,500 DZD",1
Bentley silverlack 100ml EDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Bleu de Chanel Eau de Parfum Chanel,N/A,"3,300 DZD | 3,800 DZD | 6,600 DZD | 7,600 DZD | 9,900 DZD | 11,400 DZD | 13,200 DZD | 15,000 DZD | 15,200 DZD | 16,500 DZD | 19,000 DZD | 24,000 DZD | 30,000 DZD | 31,000 DZD | 36,000 DZD | 36,500 DZD | 37,000 DZD | 41,500 DZD | 43,000 DZD | 47,000 DZD | 50,000 DZD | 65,000 DZD","12,500 DZD | 13,500 DZD | 18,500 DZD | 19,500 DZD | 23,500 DZD | 24,500 DZD | 42,500 DZD",N/A,N/A,"13,000 DZD | 14,000 DZD | 27,400 DZD | 34,500 DZD | 36,000 DZD | 38,000 DZD | 42,500 DZD | 46,000 DZD | 49,500 DZD | 63,500 DZD","3,300 DZD","65,000 DZD",3
Blue Seduction Antonio Banderas 200ML,N/A,"1,200 DZD | 2,400 DZD | 3,600 DZD | 4,800 DZD | 6,000 DZD | 9,000 DZD | 9,500 DZD | 13,000 DZD | 13,500 DZD","7,500 DZD",N/A,N/A,"10,800 DZD | 11,800 DZD","1,200 DZD","13,500 DZD",3
Bois Imperial 30 ML,N/A,N/A,N/A,N/A,"4,300 DZD | 4,600 DZD | 7,200 DZD | 7,900 DZD | 13,900 DZD | 28,500 DZD | 29,800 DZD | 30,800 DZD",N/A,"4,300 DZD","30,800 DZD",1
