Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
ABSOLUS ALLEGORIA EPICES EXQUISES EDP 125ML,absolus-allegoria-epices-exquises-edp-125ml,<p>ABSOLUS ALLEGORIA EPICES EXQUISES EDP 125ML</p>,ABSOLUS ALLEGORIA,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Perfume,"Parfum DZ, ABSOLUS ALLEGORIA",TRUE,Active,PFDZ-001,,Title,Default Title,,,,,,,,25500.00,26500.00,21800.00,FALSE,,,,,,shopify,100,DENY,150,g,TRUE,manual,https://raw.githubusercontent.com/AbderrazakOuldlhadj/medak/main/assets/product_images/ABSOLUS%20ALLEGORIA%20EPICES%20EXQUISES%20EDP%20125ML/bottle.webp,1,ABSOLUS ALLEGORIA EPICES EXQUISES EDP 125ML,https://raw.githubusercontent.com/AbderrazakOuldlhadj/medak/main/assets/product_images/ABSOLUS%20ALLEGORIA%20EPICES%20EXQUISES%20EDP%20125ML/bottle.webp,FALSE,ABSOLUS ALLEGORIA EPICES EXQUISES EDP 125ML,ABSOLUS ALLEGORIA EPICES EXQUISES EDP 125ML,,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Unisex,Adult (13+ years old),,Perfumes DZ,Perfumes DZ,New,FALSE,Top Seller,,,,
,absolus-allegoria-epices-exquises-edp-125ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/AbderrazakOuldlhadj/medak/main/assets/product_images/ABSOLUS%20ALLEGORIA%20EPICES%20EXQUISES%20EDP%20125ML/image_2.webp,2,ABSOLUS ALLEGORIA EPICES EXQUISES EDP 125ML,,,,,,,,,,,,,,,,,,
ABSOLUS ALLEGORIA OUD ESSENTIEL EDP 125ML,absolus-allegoria-oud-essentiel-edp-125ml,<p>ABSOLUS ALLEGORIA OUD ESSENTIEL EDP 125ML</p>,ABSOLUS ALLEGORIA,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Perfume,"Parfum DZ, ABSOLUS ALLEGORIA",TRUE,Active,PFDZ-002,,Title,Default Title,,,,,,,,25900.00,27000.00,21800.00,FALSE,,,,,,shopify,100,DENY,150,g,TRUE,manual,https://raw.githubusercontent.com/AbderrazakOuldlhadj/medak/main/assets/product_images/ABSOLUS%20ALLEGORIA%20OUD%20ESSENTIEL%20EDP%20125ML/bottle.webp,1,ABSOLUS ALLEGORIA OUD ESSENTIEL EDP 125ML,https://raw.githubusercontent.com/AbderrazakOuldlhadj/medak/main/assets/product_images/ABSOLUS%20ALLEGORIA%20OUD%20ESSENTIEL%20EDP%20125ML/bottle.webp,FALSE,ABSOLUS ALLEGORIA OUD ESSENTIEL EDP 125ML,ABSOLUS ALLEGORIA OUD ESSENTIEL EDP 125ML,,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Unisex,Adult (13+ years old),,Perfumes DZ,Perfumes DZ,New,FALSE,Top Seller,,,,
,absolus-allegoria-oud-essentiel-edp-125ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/AbderrazakOuldlhadj/medak/main/assets/product_images/ABSOLUS%20ALLEGORIA%20OUD%20ESSENTIEL%20EDP%20125ML/image_2.webp,2,ABSOLUS ALLEGORIA OUD ESSENTIEL EDP 125ML,,,,,,,,,,,,,,,,,,
ABSOLUS ALLEGORIA SANTAL ROYAL 125ML,absolus-allegoria-santal-royal-125ml,<p>ABSOLUS ALLEGORIA SANTAL ROYAL 125ML</p>,ABSOLUS ALLEGORIA,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Perfume,"Parfum DZ, ABSOLUS ALLEGORIA",TRUE,Active,PFDZ-003,,Title,Default Title,,,,,,,,26500.00,27500.00,21000.00,FALSE,,,,,,shopify,100,DENY,150,g,TRUE,manual,https://raw.githubusercontent.com/AbderrazakOuldlhadj/medak/main/assets/product_images/ABSOLUS%20ALLEGORIA%20SANTAL%20ROYAL%20125ML/bottle.webp,1,ABSOLUS ALLEGORIA SANTAL ROYAL 125ML,https://raw.githubusercontent.com/AbderrazakOuldlhadj/medak/main/assets/product_images/ABSOLUS%20ALLEGORIA%20SANTAL%20ROYAL%20125ML/bottle.webp,FALSE,ABSOLUS ALLEGORIA SANTAL ROYAL 125ML,ABSOLUS ALLEGORIA SANTAL ROYAL 125ML,,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Unisex,Adult (13+ years old),,Perfumes DZ,Perfumes DZ,New,FALSE,Top Seller,,,,
,absolus-allegoria-santal-royal-125ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/AbderrazakOuldlhadj/medak/main/assets/product_images/ABSOLUS%20ALLEGORIA%20SANTAL%20ROYAL%20125ML/image_2.webp,2,ABSOLUS ALLEGORIA SANTAL ROYAL 125ML,,,,,,,,,,,,,,,,,,
ANTONIO BANDERAS BLUE SEDUCTION EDT 200ML,antonio-banderas-blue-seduction-edt-200ml,<p>ANTONIO BANDERAS BLUE SEDUCTION EDT 200ML</p>,ANTONIO BANDERAS,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Perfume,"Parfum DZ, ANTONIO BANDERAS",TRUE,Active,PFDZ-004,,Title,Default Title,,,,,,,,10900.00,11800.00,5400.00,FALSE,,,,,,shopify,100,DENY,150,g,TRUE,manual,https://raw.githubusercontent.com/AbderrazakOuldlhadj/medak/main/assets/product_images/ANTONIO%20BANDERAS%20BLUE%20SEDUCTION%20EDT%20200ML/bottle.webp,1,ANTONIO BANDERAS BLUE SEDUCTION EDT 200ML,https://raw.githubusercontent.com/AbderrazakOuldlhadj/medak/main/assets/product_images/ANTONIO%20BANDERAS%20BLUE%20SEDUCTION%20EDT%20200ML/bottle.webp,FALSE,ANTONIO BANDERAS BLUE SEDUCTION EDT 200ML,ANTONIO BANDERAS BLUE SEDUCTION EDT 200ML,,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Unisex,Adult (13+ years old),,Perfumes DZ,Perfumes DZ,New,FALSE,Top Seller,,,,
,antonio-banderas-blue-seduction-edt-200ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/AbderrazakOuldlhadj/medak/main/assets/product_images/ANTONIO%20BANDERAS%20BLUE%20SEDUCTION%20EDT%20200ML/image_2.webp,2,ANTONIO BANDERAS BLUE SEDUCTION EDT 200ML,,,,,,,,,,,,,,,,,,
,antonio-banderas-blue-seduction-edt-200ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/AbderrazakOuldlhadj/medak/main/assets/product_images/ANTONIO%20BANDERAS%20BLUE%20SEDUCTION%20EDT%20200ML/image_3.webp,3,ANTONIO BANDERAS BLUE SEDUCTION EDT 200ML,,,,,,,,,,,,,,,,,,
AZZARO THE MOST WANTED EDP 100ML,azzaro-the-most-wanted-edp-100ml,<p>AZZARO THE MOST WANTED EDP 100ML</p>,AZZARO,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Perfume,"Parfum DZ, AZZARO",TRUE,Active,PFDZ-005,,Title,Default Title,,,,,,,,17900.00,18800.00,13200.00,FALSE,,,,,,shopify,100,DENY,150,g,TRUE,manual,https://raw.githubusercontent.com/AbderrazakOuldlhadj/medak/main/assets/product_images/AZZARO%20THE%20MOST%20WANTED%20EDP%20100ML/msedp1.webp,1,AZZARO THE MOST WANTED EDP 100ML,https://raw.githubusercontent.com/AbderrazakOuldlhadj/medak/main/assets/product_images/AZZARO%20THE%20MOST%20WANTED%20EDP%20100ML/msedp1.webp,FALSE,AZZARO THE MOST WANTED EDP 100ML,AZZARO THE MOST WANTED EDP 100ML,,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Unisex,Adult (13+ years old),,Perfumes DZ,Perfumes DZ,New,FALSE,Top Seller,,,,
