Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Flavor (product.metafields.shopify.flavor),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
absolus-allegoria-santal-royal-125ml,ABSOLUS ALLEGORIA SANTAL ROYAL 125ML,<p>ABSOLUS ALLEGORIA SANTAL ROYAL 125ML</p>,ABSOLUS ALLEGORIA,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Perfume,"Parfum DZ, ABSOLUS ALLEGORIA",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,21000.00,,true,false,,,,,,assets/product_images/ABSOLUS ALLEGORIA SANTAL ROYAL 125ML/image_2.webp,1,ABSOLUS ALLEGORIA SANTAL ROYAL 125ML,false,ABSOLUS ALLEGORIA SANTAL ROYAL 125ML,ABSOLUS ALLEGORIA SANTAL ROYAL 125ML,,assets/product_images/ABSOLUS ALLEGORIA SANTAL ROYAL 125ML/image_2.webp,kg,,,active
absolus-allegoria-santal-royal-125ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assets/product_images/ABSOLUS ALLEGORIA SANTAL ROYAL 125ML/image_3.webp,2,ABSOLUS ALLEGORIA SANTAL ROYAL 125ML,,,,,,,,,
absolus-allegoria-santal-royal-125ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assets/product_images/ABSOLUS ALLEGORIA SANTAL ROYAL 125ML/image_4.webp,3,ABSOLUS ALLEGORIA SANTAL ROYAL 125ML,,,,,,,,,
absolus-allegoria-santal-royal-125ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assets/product_images/ABSOLUS ALLEGORIA SANTAL ROYAL 125ML/raw_2.jpg,4,ABSOLUS ALLEGORIA SANTAL ROYAL 125ML,,,,,,,,,
absolus-allegoria-santal-royal-125ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assets/product_images/ABSOLUS ALLEGORIA SANTAL ROYAL 125ML/raw_3.jpg,5,ABSOLUS ALLEGORIA SANTAL ROYAL 125ML,,,,,,,,,
absolus-allegoria-santal-royal-125ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assets/product_images/ABSOLUS ALLEGORIA SANTAL ROYAL 125ML/raw_4.jpg,6,ABSOLUS ALLEGORIA SANTAL ROYAL 125ML,,,,,,,,,
antonio-banderas-blue-seduction-edt-200ml,ANTONIO BANDERAS BLUE SEDUCTION EDT 200ML,<p>ANTONIO BANDERAS BLUE SEDUCTION EDT 200ML</p>,ANTONIO BANDERAS,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Perfume,"Parfum DZ, ANTONIO BANDERAS",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,5400.00,,true,false,,,,,,assets/product_images/ANTONIO BANDERAS BLUE SEDUCTION EDT 200ML/bottle.webp,1,ANTONIO BANDERAS BLUE SEDUCTION EDT 200ML,false,ANTONIO BANDERAS BLUE SEDUCTION EDT 200ML,ANTONIO BANDERAS BLUE SEDUCTION EDT 200ML,,assets/product_images/ANTONIO BANDERAS BLUE SEDUCTION EDT 200ML/bottle.webp,kg,,,active
antonio-banderas-blue-seduction-edt-200ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assets/product_images/ANTONIO BANDERAS BLUE SEDUCTION EDT 200ML/image_2.webp,2,ANTONIO BANDERAS BLUE SEDUCTION EDT 200ML,,,,,,,,,
antonio-banderas-blue-seduction-edt-200ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assets/product_images/ANTONIO BANDERAS BLUE SEDUCTION EDT 200ML/image_3.webp,3,ANTONIO BANDERAS BLUE SEDUCTION EDT 200ML,,,,,,,,,
antonio-banderas-blue-seduction-edt-200ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assets/product_images/ANTONIO BANDERAS BLUE SEDUCTION EDT 200ML/image_4.webp,4,ANTONIO BANDERAS BLUE SEDUCTION EDT 200ML,,,,,,,,,
