Brand,Perfume Title,Volume (ML),Concentration,Prix Gros (DZD),Min Market Price (DZD),Max Market Price (DZD),Suggested Selling Price (DZD),Net Profit Margin (DZD),Profit Margin (%),Meta Ads Suitability
ENCENS,ENCENS MYTHIQUE EDP 125ML,125ML,EDP,"19,200 DZD","25,000 DZD","28,000 DZD","26,900 DZD","7,700 DZD",40.1%,🔥 TOP META ADS WINNER (High Margin Buffer)
GUERLAIN,GUERLAIN EPICES EXQUISES EDP 125ML,125ML,EDP,"19,200 DZD","26,500 DZD","28,000 DZD","26,900 DZD","7,700 DZD",40.1%,🔥 TOP META ADS WINNER (High Margin Buffer)
EMPORIO ARMANI,EMPORIO ARMANI STRONGER WITH YOU POWERFULLY EDP 100ML,100ML,EDP,"20,200 DZD","22,900 DZD","28,500 DZD","27,500 DZD","7,300 DZD",36.1%,🔥 TOP META ADS WINNER (High Margin Buffer)
DIOR,DIOR HOMME PARFUM 125ML,125ML,PARFUM,"35,000 DZD","6,262 DZD","42,500 DZD","41,500 DZD","6,500 DZD",18.6%,🔥 TOP META ADS WINNER (High Margin Buffer)
GUERLAIN,GUERLAIN PATCHOULI ARDEN EDP 125ML,125ML,EDP,"20,500 DZD","26,500 DZD","27,500 DZD","26,500 DZD","6,000 DZD",29.3%,🔥 TOP META ADS WINNER (High Margin Buffer)
DIOR,DIOR SAUVAGE ELEXIR EDP 100ML,100ML,ELIXIR,"39,500 DZD","6,262 DZD","46,500 DZD","45,500 DZD","6,000 DZD",15.2%,🔥 TOP META ADS WINNER (High Margin Buffer)
HUGO BOSS,HUGO BOSS SUPERMAN EDP 125ML,125ML,EDP,"9,500 DZD",N/A,"16,500 DZD","15,500 DZD","6,000 DZD",63.2%,🔥 TOP META ADS WINNER (High Margin Buffer)
CLINIQUE HAPPY,CLINIQUE HAPPY COLOGNE FOR MEN EDT 100ML,100ML,EDT,"5,800 DZD","9,000 DZD","12,800 DZD","11,900 DZD","6,100 DZD",105.2%,🔥 TOP META ADS WINNER (High Margin Buffer)
AZZARO,AZZARO WANTED BY NIGHT EDP 100ML,100ML,EDP,"13,800 DZD","18,500 DZD","20,500 DZD","19,500 DZD","5,700 DZD",41.3%,✅ GOOD META ADS POTENTIAL
ABSOLUS ALLEGORIA,ABSOLUS ALLEGORIA SANTAL ROYAL 125ML,125ML,,"21,000 DZD","26,500 DZD","27,500 DZD","26,500 DZD","5,500 DZD",26.2%,✅ GOOD META ADS POTENTIAL
